,内定予想,退職予想,個人ｺｰﾄﾞ,氏名,分類,区分,世代,性別,信頼係数,思索型：内閉性,思索型：客観性,活動型：身体性,活動型：気分性,努力型：持続性,努力型：規則性,積極型：競争性,積極型：自尊心,自制型：慎重性,自制型：弱気さ,日常周辺事型,客観・科学型,社会・経済型,心理・情緒型,審美・芸術型,積極性,協調性,責任感,自己信頼性,指導性,共感性,感情安定性,従順性,自主性,ﾓﾗﾄﾘｱﾑ傾向,達成欲求,親和欲求,求知欲求,顕示欲求,秩序欲求,物質的欲望,危機耐性,自律欲求,支配欲求,勤労意欲,自己：積極実行,自己：意欲熱意,自己：根気強さ,自己：責任感,自己：決断勇気,自己：指導力,自己：リーダー,自己：自己信頼,自己：調整力,自己：折衝力,自己：独創斬新,自己：現状分析,自己：洞察力,自己：企画立案,自己：専門知識,自己：情報活用,定着・安定,判定結果,ﾊﾟｰｿﾅﾘﾃｨｽｹｯﾁ,一般的,精神力,足　腰,集中力,標準化,適性の幅,対人ストレス耐性,目標ストレス耐性,繁忙ストレス耐性,拘束ストレス耐性,総合ストレス耐性,適合度,内定有無,No.
706,非内定,退職,220408045.0,,新卒,,２０〜２５才,0,35,51,42,49,54,50,48,55,41,61,54,59,43,30,49,53,59,56,46,47,66,50,49,39,65,54,49,51,54,52,47,57,61,59,60,64,80,100,80,100,80,80,100,80,80,80,100,80,100,80,60,40,1,1,思いつきなどの行動は少なく、じっくりとかまえて慎重に物事にあたる。そのため、ただやみくもになり、軽はずみな行動をとったり、すてばちになったりするようなことはあまりない。人によっては感情的に動いているといった意見もあるが、本格的に実行に移す際は、時間をかけてでもじっくりと頭の中で整理して、ある程度の見通しをつけてから行動に移す。過去の経験なども考えにいれて判断する。しかし、本質的に競争心が強くライバルがいたりすると意欲をもやし、実力以上の結果を出すこともある。また、自分の感情はできるだけ抑えようとする良さがあり、周囲への配慮もみられる。本来２個の別人間で１個では存在しないタイプの性格である。実際的な要請で他人像の演技をしているのか、取り込みによるものか、過去になにか激烈な体験でもあり、影響しているのか判断の難しいところである。積極性と慎重性が状況によって交互にあらわれるといえ、自分に都合の良い体制が整うと、両側面の特性がかみあい実力を発揮することができる。,46,60,60,52,56,55,52,53,52,42,49,0,,
707,非内定,在職,220412021.0,,新卒,,２０〜２５才,1,80,31,42,67,50,59,48,53,41,69,59,52,47,46,55,46,59,56,66,41,59,63,41,50,57,47,52,54,60,57,58,57,53,52,60,66,100,100,80,80,80,80,100,60,100,60,40,80,80,80,40,80,8,0,絶対大丈夫だという確信がもてるまで、行動に移らない慎重さが本質といえる。しかし、少しでも問題が起こると、責任のおおくを自分に感じて、クヨクヨし取り越し苦労をする。表面上にあらわれないにせよ、他人の行動や自分に対する評価を、いつも気にかけているようなところもある。また、ちょっとしたことにも反応してしまい、心のやすまる時がないようである。しかし、時間はかかるが、自分でじっくりと考え、一度こうだと決めたことに関しては、気持ちに余裕をもって、物事の処理にあたる。そうしたときは、テキパキした行動で、思い立ったことは素早く実行に移そうとする。情緒的にも安定しており、環境の変化にもたやすくついていける。一定のリズムをもって生活していて、手掛けた事を途中で放り出すこともなく、発想も堅実である。感覚的な捉え方ばかりでなく理詰な考え方もできる。もう少し安定的ならばリーダー格にもなりうる人である。元々は２個のパーソナリティーをもち、１個では存在しないタイプの性格と考えられる。,71,63,66,57,66,62,60,53,55,48,47,0,,
708,非内定,退職,220412022.0,,新卒,,２０〜２５才,1,45,51,71,46,47,63,51,44,32,65,49,40,60,46,46,53,59,56,61,59,69,52,70,46,47,50,60,62,45,55,58,57,72,46,64,57,80,100,100,100,100,100,100,80,100,80,100,80,80,80,20,60,16,0,いろいろな人の集まる輪のなかで、自分から話をするというのではなく、聞き上手な方にまわり、自分のための情報収集をするタイプ。しかし、自分にあった環境や、同じような価値観の持主、気の合った仲間のなかでは、豊かな内面性を自ら積極的に発揮させる。また、独自の内面的世界を重要視していて、周囲のことはあまり気にしないという面がある。しかし、一般的に言われる他人への気配りは見られ、社会への関心はある。どちらかといえば、物事をさめた眼でみつめる方であり、環境をあるがままに客観的にとらえようとしていて、意見の口外は少ないにせよ、頭のなかではじっくりと考えた的確な判断をしている。また、自信がもてるまで、行動に移さない慎重性も認められる。これは、自ら外にうってでるような冒険や果敢な行動をしないための結果といえる。おおきな失敗をしない手堅さとしては評価できるのだが、逆に失敗に対する不安を考えすぎる傾向もあり、良いものがあるのに、できることだけを小さく表現してしまう欠点でもある。,70,69,59,69,73,72,49,59,61,51,60,0,,
709,非内定,在職,220412023.0,,新卒,,２０〜２５才,0,100,38,67,64,42,78,63,59,37,57,37,47,43,30,43,78,71,61,71,70,76,63,65,50,51,33,75,58,54,73,71,77,86,52,67,78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60,100,19,0,常に努力を怠らず、自分らしい事を丹念に続けるタイプ。普段の生活も秩序正しく、几帳面な性格といえる。物事を中途半端に投げださず、自分で納得できるまで大事に手掛けていく。規則やきまりを気にする性格で、極端な冒険はせず、万事手堅く生きている常識人ともいえる。自分では、ああもしたい、こうもしたいと結構ユニークなアイデアも沸くが、いざ実行に移すときになると、「世間の評判」が気になったりして、常識的なところで落ち着いてしまう。また、社会への関心もあり、交友関係や人脈などもほどほどにあり、自己の世界に閉じ込もったり、夢をみるよりは、現実的な場面に生きている。そして、物事の把握のしかたは、あるがままに客観的にとらえようとする傾向が強く、キチンと理解しようとする。話合いの場では、意見の衝突で混乱しても、冷静沈着にかまえることができる。あまり感情的にならず、人情などに左右されないために、冷淡な印象を与えることがあるが、内面性は非常に豊かであり、自己を深く内省している人といえる。,75,72,69,69,75,82,55,73,73,48,69,0,,
710,非内定,在職,220412024.0,,新卒,,２０〜２５才,1,88,48,50,58,42,66,51,48,41,53,39,47,37,34,52,66,62,52,51,56,62,50,57,43,47,38,60,44,47,55,55,64,68,46,52,64,100,100,80,80,100,100,100,60,100,100,60,100,80,80,20,60,12,1,努力を信条とし、目標に向けて一生懸命に励む性格である。手掛けた事は丁寧に処理しキチンとしている。途中であきらめてしまうことは少なく、物事には粘り強く取り組んでいく忍耐力もある。見方によっては、それが執念深さとしてうつることもある。そして、独自の価値観にそった判断をしているが、発想は堅苦しいものばかりではなく、ユニークさも持ちあわせている。自分の考えはあらかじめ用意しているが、いろいろな計画を立てるときは、自分だけの勝手な判断で決定するのではなく、他人の意見も取入れながら考えていこうとする。また、身が軽く体を動かして物事を解決していくところもある。だからといって、思いついたら何も考えずに即実行といった軽薄さや、気分で行動したりすることは少ないため大きな失敗はあまりない。新しい環境の変化にもそれほど時間をかけずに適応することができる。場や雰囲気にのまれることなく、精神的にも安定している。まれに感情的になってしまうこともあるが、人情もろくてお人好しな性格である。,57,60,58,59,59,65,49,60,61,51,60,0,,
711,非内定,在職,220412025.0,,新卒,,２０〜２５才,1,48,48,50,49,42,48,44,41,41,61,49,50,50,46,46,53,50,61,51,47,59,59,53,50,44,50,39,58,47,46,47,43,61,42,52,52,80,80,60,100,60,80,100,20,100,60,60,80,60,60,20,60,10,2,あくまでも先が見えるまで動かず、容易な決断はしないような慎重さが身上といえる。自分の感情を抑え、人にもやさしいといえるが、問題が起こると自罰的になったり、過去の失敗をいつまでも悩んだりする傾向がみられる。また、何をやらせても着実で手堅い人である。慎重すぎるせいか、発想は着実であり非常にユニークなアイデアや意見をもっているが、大胆な行動などはあまりとらないため、できることだけを小さくまとめて控えめに表現することがある。遠慮がちであり、もう少し視野を広げ、図太さなどがそなわると良い特性が引き出せる。また、どちらかといえば、たくさんの人が集まるところでは、自分から積極的に話しかける社交家ではないが、社会へ関心はあり、情報を収集するアンテナはしっかりと張りめぐらせている。物事を客観的にとらえようとする傾向がつよく、キチンと把握しようとする姿勢がみられる。あまり人情的にのめりこまないため冷たい印象を与えがちだが、豊かな内面性の持ち主で、自分自身を深く内省している。,55,37,41,40,56,40,56,50,52,54,53,0,,
712,内定,在職,220412026.0,,新卒,,２０〜２５才,0,81,38,50,64,42,78,58,38,37,61,42,36,57,46,49,58,74,56,76,67,44,63,70,52,47,41,64,58,54,60,74,73,82,46,34,72,100,100,100,100,100,80,100,60,80,40,80,80,100,100,80,100,22,0,几帳面であり手掛けたことはとことん追求する徹底性もみられる。しかし、几帳面といっても、細かいことまでこだわるというより全体のまとまりを見たり、また、整理整頓は好ましいことだと思っていても、いつもきれいでなければ気がすまないというほどではない。物事の判断のしかたは、堅実というイメージであるが、ときに突発的な発想をしたりもする。行動力もあり、身軽で多少の困難にも粘り強い姿勢で対応することができる。ただ、規則や秩序を大切にしている常識家であり、決定事項などは必ず守るといった社会通念が強いあまり、お堅い人との印象を与えることもある。新しい環境などには比較的とけこむのが早く適応力がある。初対面では馴染みにくそうに思われることもあるが、本人は誰とでも気軽に話すことができ、すぐに親しくなれるような庶民的な雰囲気がある。精神的にもわりと安定していて、常に自分のリズムを一定に保つことができる。世話好きで親切な側面もあり、集団のリーダー格として活躍できる可能性をもっている。,73,70,66,69,72,76,57,67,73,57,67,0,,
713,非内定,在職,220412027.0,,新卒,,２０才未満,1,74,54,63,39,50,69,63,50,45,69,37,52,60,38,49,41,52,48,51,70,59,67,57,58,44,36,60,65,54,60,64,68,68,46,52,50,80,100,60,60,100,80,80,60,80,40,80,80,80,80,60,40,12,1,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,68,60,56,63,68,61,52,59,60,54,61,0,,
714,非内定,退職,220415007.0,,新卒,,２０〜２５才,1,89,45,33,54,50,66,58,48,41,57,65,36,50,38,52,53,50,52,61,44,44,55,36,52,51,51,68,48,45,50,50,57,57,52,45,61,80,100,100,80,20,20,100,20,60,80,20,60,80,40,40,20,6,1,仕事にも生活にも几帳面で、キチンとしていなければ気がすまないタイプである。手掛け始めたことは、地道にコツコツと努力し、途中で投げ出すことなく最後までやりぬこうとする。徹底性もあり、ときにそれがしつこいという印象になる。常識からはずれた行動をとることなく、あくまでも社会規範に沿った生活を重んじている。そのため杓子定規な判断も多く、斬新さや柔軟さに欠けるきらいがあるが、大きな失敗をしないことは取り柄といえる。また、過信せずある程度の見通しがつくまで行動しない慎重さもある。他人の意見なども自分が納得するまでは、簡単に受け入れることはあまりない。状況の変化に対しては、徹底的に理由を調べてから次の行動へ移ろうとする。そして、自分と他人を比べて考えるようなことはなく、他人には思いやりをもって接しようとしている。よくいえば、自分を抑える良さととれるが、一方では気弱で引っ込み思案であり快活な面がないともいえる。努力型と慎重性、弱気さをもった神経の細かい過敏な性格である。,66,50,56,56,57,48,55,55,53,52,47,0,,
715,内定,退職,220415008.0,,新卒,,２０〜２５才,1,58,48,63,58,54,66,44,48,58,69,54,29,60,53,43,74,59,70,55,53,56,70,45,46,47,50,52,70,62,60,52,84,65,49,60,64,100,100,80,100,80,100,100,80,100,80,80,80,80,80,60,80,6,1,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,58,62,57,58,59,70,59,56,58,46,51,0,,
716,非内定,在職,220415009.0,,新卒,,２０〜２５才,1,54,48,47,49,50,48,44,44,58,53,33,52,47,50,49,53,52,48,61,53,47,63,49,50,47,36,52,51,50,55,52,54,53,42,45,54,80,80,80,80,80,80,100,80,100,60,60,80,80,80,60,60,4,3,何か計画を練るときは、他の人の力も計算に入れて考える方であり、どちらかといえば、充分すぎるくらいに時間をかけて検討し結論を出す。だが、いざ実行に移すという段階になると、自分の計画と他人の動きとのズレを感じたり、イライラしたりする。しかし、皆はこの計画をどう感じているのだろうかなど、自分への評価を気にかけていたりする。自分ではいろいろとわかっているが、批判されたりすると感情的になってしまう傾向がある。しかし、本来は人に負けたくないと思うむき出しの競争心ではなく、むしろ他人には寛容な性格といえる。目立つより人と協調していこうとする、心やさしいところもある。しかしそれは、ぎすぎすした人間関係になるのを避けるための手段といえ、表面上の行動といえる。また、いろいろと考えたあげくの結論なのに、途中で悩んでしまい変更してみたり、物を大切にするときと無造作に扱うときがあったり、神経質なところと無頓着なところが交互にあらわれたりもし、楽観的なのか悲観的なのかわかりづらい。,44,35,38,33,44,36,53,52,56,51,53,0,,
717,非内定,退職,220415010.0,,新卒,,２０〜２５才,1,80,38,47,67,42,72,63,41,50,78,54,66,50,50,40,41,52,70,71,44,59,63,45,58,42,51,52,58,39,55,68,68,61,42,56,66,100,100,100,80,60,80,100,60,100,60,60,80,80,80,40,60,14,0,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,78,59,59,58,84,56,61,56,60,53,51,0,,
718,非内定,退職,220418006.0,,新卒,,２０〜２５才,0,62,51,63,51,50,59,40,50,41,61,33,52,40,57,46,50,62,56,55,67,59,59,65,46,54,41,60,51,57,73,52,68,82,49,56,57,80,100,100,80,100,100,100,60,100,100,80,100,60,100,60,60,9,0,いろいろな人の集まる輪のなかで、自分から話をするというのではなく、聞き上手な方にまわり、自分のための情報収集をするタイプ。しかし、自分にあった環境や、同じような価値観の持主、気の合った仲間のなかでは、豊かな内面性を自ら積極的に発揮させる。また、独自の内面的世界を重要視していて、周囲のことはあまり気にしないという面がある。しかし、一般的に言われる他人への気配りは見られ、社会への関心はある。どちらかといえば、物事をさめた眼でみつめる方であり、環境をあるがままに客観的にとらえようとしていて、意見の口外は少ないにせよ、頭のなかではじっくりと考えた的確な判断をしている。また、自信がもてるまで、行動に移さない慎重性も認められる。これは、自ら外にうってでるような冒険や果敢な行動をしないための結果といえる。おおきな失敗をしない手堅さとしては評価できるのだが、逆に失敗に対する不安を考えすぎる傾向もあり、良いものがあるのに、できることだけを小さく表現してしまう欠点でもある。,68,73,69,66,68,74,50,64,65,49,64,0,,
719,非内定,在職,220418007.0,,新卒,,２０〜２５才,1,74,41,55,61,47,69,51,48,37,73,62,43,50,46,52,50,62,52,66,50,56,55,41,52,47,57,49,44,57,60,58,64,65,46,49,69,80,100,100,80,80,60,80,100,100,60,60,100,100,40,20,80,10,1,時期尚早なことは決してせず、あくまでも機が熟すのを待つような慎重さがある。自分の感情を抑えるよさがあり、人に対する気配りもみられる。しかし、他人の思惑を考えすぎたり、行動する前から問題が起こることを予測するような気の弱さを表に出すことがあり、そうしたことも見方によっては、自信のなさからきているものだと誤解をまねくことがある。もともと、過敏な神経の持ち主であり、大勢の人の集まる場所では、緊張のため快活に振舞えなくなることがある。持っている冷静さを失うと、不安定な行動をとる可能性もある。一般的に真面目で一途な人に多いが、もう少し精神的に余裕をもてるような、おおらかさがほしい。また、任されたことは単純な作業であっても、飽きずに長時間こなせる持続性がある。通常は何事もコツコツと丹念に取り組むほうで、生活ぶりも規則正しく、几帳面である。努力を信条とし、いつまでも走り続ける長距離ランナー型といえる。しかし、一時に没頭しすぎるきらいがあり、しつこさとして映ることもある。,66,61,64,59,59,62,51,57,60,54,50,0,,
720,非内定,退職,220418008.0,,新卒,,３１〜３５才,0,74,51,50,51,42,63,44,55,50,73,49,36,43,42,49,74,55,52,71,56,56,70,57,46,57,59,45,62,54,60,52,47,72,49,56,54,80,80,80,80,80,80,80,60,80,60,80,100,80,80,60,60,10,2,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,56,54,56,52,50,60,56,57,62,46,56,0,,
721,内定,在職,220418009.0,,新卒,,２０〜２５才,1,67,48,50,54,42,63,58,44,37,65,54,40,50,38,46,62,49,61,55,44,47,55,49,58,44,50,55,48,47,48,61,64,53,46,49,61,80,100,80,80,60,60,80,40,60,40,60,80,80,80,20,60,12,1,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,76,47,46,66,69,51,53,53,53,56,50,0,,
722,非内定,在職,220418010.0,,新卒,,２０〜２５才,0,80,65,63,39,33,72,66,41,32,69,51,43,43,38,46,66,57,52,76,67,69,50,61,69,39,54,64,51,47,57,74,68,79,49,64,54,100,100,100,100,100,100,100,60,80,60,80,80,80,80,60,60,18,1,生活態度も安定していて、何事もしっかりこなしていこうとする。走り出しはそれほどでもないが、いつまでも息切れせずに走り続けることができ、途中であきらめることなく、成し遂げるまで頑張ろうとする。また、自分でよく考えた上で決めたことは必ず実行し、自分の気分や周囲の状況の変化で予定を変更したりすることはあまりない。人の意見に対してもすぐに鵜呑みにするようなことは少なく、答えは自分で決めるといったところもある。精神状態は安定しているほうだといえ、どちらかといえば落ち着いているという雰囲気がある。そして、規則や常識を大切にし、社会通念に生きている常識家ともいえる。そのためか、物事の判断は型にはまりがちになることもある。また、明確な見通しがつくまで動かない慎重さも認められる。自分を抑える良さがあるといえるが、慎重になりすぎてユニークさに欠けてしまったり、失敗を意識しすぎて小さくまとまってしまったりすることがある。また、問題が起こると取り越し苦労するなど弱気な面もある。,74,55,49,74,64,56,45,64,66,57,64,0,,
723,非内定,在職,220419013.0,,新卒,,２０〜２５才,1,91,45,55,58,54,59,48,55,50,38,39,47,50,30,65,46,52,52,51,56,50,55,57,46,51,47,64,51,60,55,44,50,65,52,45,57,80,80,80,80,80,80,80,60,80,60,60,80,60,80,80,80,2,1,努力を信条とし、目標に向けて一生懸命に励む性格である。手掛けた事は丁寧に処理しキチンとしている。途中であきらめてしまうことは少なく、物事には粘り強く取り組んでいく忍耐力もある。見方によっては、それが執念深さとしてうつることもある。そして、独自の価値観にそった判断をしているが、発想は堅苦しいものばかりではなく、ユニークさも持ちあわせている。自分の考えはあらかじめ用意しているが、いろいろな計画を立てるときは、自分だけの勝手な判断で決定するのではなく、他人の意見も取入れながら考えていこうとする。また、身が軽く体を動かして物事を解決していくところもある。だからといって、思いついたら何も考えずに即実行といった軽薄さや、気分で行動したりすることは少ないため大きな失敗はあまりない。新しい環境の変化にもそれほど時間をかけずに適応することができる。場や雰囲気にのまれることなく、精神的にも安定している。まれに感情的になってしまうこともあるが、人情もろくてお人好しな性格である。,52,64,69,52,51,71,51,57,57,49,55,0,,
724,非内定,退職,220419014.0,,新卒,,２０〜２５才,1,100,38,42,58,47,72,48,50,45,57,33,50,40,26,52,70,55,61,71,59,59,70,57,55,47,38,60,65,54,63,55,68,72,35,56,61,60,100,100,100,100,80,100,60,80,80,80,80,80,80,40,80,18,0,努力を信条とし、目標に向けて一生懸命に励む性格である。手掛けた事は丁寧に処理しキチンとしている。途中であきらめてしまうことは少なく、物事には粘り強く取り組んでいく忍耐力もある。見方によっては、それが執念深さとしてうつることもある。そして、独自の価値観にそった判断をしているが、発想は堅苦しいものばかりではなく、ユニークさも持ちあわせている。自分の考えはあらかじめ用意しているが、いろいろな計画を立てるときは、自分だけの勝手な判断で決定するのではなく、他人の意見も取入れながら考えていこうとする。また、身が軽く体を動かして物事を解決していくところもある。だからといって、思いついたら何も考えずに即実行といった軽薄さや、気分で行動したりすることは少ないため大きな失敗はあまりない。新しい環境の変化にもそれほど時間をかけずに適応することができる。場や雰囲気にのまれることなく、精神的にも安定している。まれに感情的になってしまうこともあるが、人情もろくてお人好しな性格である。,75,69,63,63,78,71,63,61,67,54,60,0,,
725,非内定,在職,220419015.0,,新卒,,２０〜２５才,1,47,54,71,49,38,50,28,53,23,57,42,50,40,50,46,50,62,65,71,73,72,55,84,32,68,54,60,62,57,68,55,84,79,66,72,64,100,100,100,100,100,100,100,40,100,60,100,100,100,100,20,80,14,0,いろいろな人の集まる輪のなかで、自分から話をするというのではなく、聞き上手な方にまわり、自分のための情報収集をするタイプ。しかし、自分にあった環境や、同じような価値観の持主、気の合った仲間のなかでは、豊かな内面性を自ら積極的に発揮させる。また、独自の内面的世界を重要視していて、周囲のことはあまり気にしないという面がある。しかし、一般的に言われる他人への気配りは見られ、社会への関心はある。どちらかといえば、物事をさめた眼でみつめる方であり、環境をあるがままに客観的にとらえようとしていて、意見の口外は少ないにせよ、頭のなかではじっくりと考えた的確な判断をしている。また、自信がもてるまで、行動に移さない慎重性も認められる。これは、自ら外にうってでるような冒険や果敢な行動をしないための結果といえる。おおきな失敗をしない手堅さとしては評価できるのだが、逆に失敗に対する不安を考えすぎる傾向もあり、良いものがあるのに、できることだけを小さく表現してしまう欠点でもある。,63,77,70,64,63,74,51,67,64,40,68,0,,
726,非内定,在職,220419016.0,,新卒,,２０〜２５才,0,64,51,38,46,50,59,55,53,50,61,42,52,50,30,49,46,52,56,55,56,50,55,57,58,47,44,64,58,54,60,52,61,53,49,52,54,80,100,100,80,60,60,100,60,100,60,60,80,80,100,80,60,5,1,他の人がなんと言おうと自分で確信がもてるまで、決して行動には移さない慎重なところがある。軽はずみな行動は少なく、落ち着いた雰囲気と信頼感がある。また、努力を信条とし、何事も丹念に取り組んでいこうとする。出だしはそれほどでもないが、いつまでも持続させることができる。生活ぶりもキチンとしていて、物事は計画書を書いて実行するようなマメな人である。しかし、あくまでも一つのことに執着する頑固さではなく融通性も持っている。それほど規則や秩序を気にするわけでなく、状況に応じた判断ができる。世間の常識はわきまえていても、四角四面で固定的なものでなく、よき社会人として模範的な見方をされる。しかし、慎重であるがゆえ、問題が起こると必要以上に自分を責めることがある。その後は二度と同じ失敗をしないように考えすぎて、行動は控えめになることがある。もう少し、図太さがあり積極的にうってでるところがあると安心して見ていられるリーダーになる。しかし、手堅さや慎重さなど評価できる部分は多い。,70,57,60,58,66,57,56,56,55,52,54,0,,
727,内定,在職,220420045.0,,新卒,,２０〜２５才,1,40,48,38,46,50,42,40,44,50,65,42,47,53,34,40,74,57,56,51,50,59,52,45,50,47,44,52,44,51,57,47,43,50,46,56,54,80,100,80,80,80,100,100,80,100,80,60,80,60,100,60,80,1,3,自分を抑える良さがあり、心やさしい人柄といえる。決して過信することはなく、見通しがついてから行動するような慎重さがある。ただ、問題が起こると一人で責任を抱え込むようなところもある。不安があるせいか、ミスのないように常にできる範囲内の計画を立てようとする。大きな失敗をしない手堅さは評価できるが、慎重になりすぎるあまり、時間をかけすぎたりする。そのため、いろいろと迷いが生じてかえってうまくいかなくなり、慢性的なイライラ状態になることもある。また、思い付きは早いが、それを行動に移すに際しては、テキパキと身軽に動きまわるというほどではない。多少尻の重たさが感じられる。気立てはよくお人好しだが、自分から物事をみつけ取り組むといった積極性に欠けている。また気分に周期性があり、調子よく張り切っていたかと思えば、落ち込みちんまりとしていたり、感情の起伏が激しいところがある。よって、物事が長続きしないという傾向もみられ、手掛けたことを途中で放り出すということもしばしある。,39,34,32,40,45,38,53,52,51,50,50,0,,
728,非内定,在職,220420046.0,,新卒,,２０〜２５才,1,11,51,59,39,59,56,55,50,45,53,54,40,53,30,46,70,55,52,46,56,53,55,57,55,39,50,52,65,66,46,50,54,53,42,41,44,60,100,80,80,20,100,100,20,80,60,60,40,60,40,20,40,4,2,自己の世界を大切にし、対人関係なども自分から進んで外に出ていくことは少ない。はじめて会った人には、人見知りをするほうで、他人との間に距離を置こうとする。しかし、限られた友人とは、深い交友関係を形成している。発想は着実でありながら、時として非常におもしろい考え方をすることがある。ある程度の社会性をそなえ、周囲に対する配慮もみられる。自分自身についても深く内省していて、内面性は豊かで充実している。どちらかというと身軽に動き回るよりも、物事を落ち着いて考えてから行動するが、見方によっては、しりの重たさを感じさせることもある。新しい環境に馴染むには多少時間がかかり、新規にとりかかる事や転地などは不向きと思われる。しかし、ひとたび順応しはじめると、切り換えは遅いほうではない。また、気分屋なところがあり、調子のよい時と落ち込んでいる時の浮き沈みがあり、その時々の感情に起伏がみられる。非常に敏感な部分と鈍感な面の両方を持ち合わせていて、扱いにくい人間にうつることもある。,61,44,50,52,51,49,52,48,51,57,51,0,,
